index,pdf name,page nbr,table nbr,gri,gri_finegrained,question_type_ext,question,value,original_dataset
73,"['OTC_BAMGF_2023', 'OTC_BAYZF_2023', 'OTC_CRERF_2023', 'OTC_ESOCF_2023', 'munich-re_2023']","['310', '132', '72', '139', '47']","['0', '0', '0', '0', '0']",303,,multistep_rank,What are the top 5 lowest water consumption values (in ascending order) obtained by summing the 2023 and 2022 consumption for the following companies in million cubic meters?,"0.91, 9.89, 13.44, 20.4, 80.6",multitable5_multistep
18,"['NASDAQ_DASTY_2023', 'NYSE_TTE_2023', 'OTC_SU_2023', 'heidelberg-materials_2023', 'prosiebensat1-media_2023']","['117', '381', '310', '374', '64']","['0', '0', '1', '0', '0']",302,,multistep_sup,What is the highest change in the percentage consumption of energy from renewable sources between the years 2023 and 2022 for the following companies?,5.6,multitable5_multistep
117,"['NYSE_AZ_2023', 'OTC_ADDDF_2023', 'OTC_ESOCF_2023', 'axa_2023', 'munich-re_2023']","['60', '84', '137', '179', '46']","['0', '0', '0', '0', '0']",305,,multistep_rank,Which companies have the 3 highest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in descending order) among the following companies in MtCO2eq?,"OTC_ESOCF, munich-re, NYSE_AZ",multitable5_multistep
78,"['NASDAQ_DASTY_2023', 'NYSE_TTE_2023', 'OTC_SU_2023', 'heidelberg-materials_2023', 'munich-re_2023']","['117', '381', '310', '374', '47']","['0', '0', '1', '0', '1']",302,,multistep_sup,What is the highest average energy consumed in the last 2 years among the following companies in TWh?,161.5,multitable5_multistep
76,"['NASDAQ_DASTY_2023', 'NYSE_AZ_2023', 'OTC_ADDDF_2023', 'OTC_ESOCF_2023', 'vivendi_2023']","['141', '60', '84', '137', '105']","['0', '0', '0', '0', '0']",305,,multistep_sup,Which company has the highest percentage ratio of GHG emissions Scope 1 to Scope 3 in 2022 among the following companies?,OTC_ESOCF,multitable5_multistep
31,"['NASDAQ_DASTY_2023', 'NYSE_TTE_2023', 'OTC_DPSGY_2023', 'OTC_SU_2023', 'deutsche-telekom-ag_2023']","['117', '381', '3', '310', '46']","['0', '0', '0', '1', '0']",302,,multistep_sum,What is the total energy consumption generated by the following companies in the last 2 years in TWh?,420.52,multitable5_multistep
64,"['NASDAQ_DASTY_2023', 'NYSE_AZ_2023', 'OTC_ADDDF_2023', 'OTC_RWNEF_2023', 'axa_2023']","['141', '60', '84', '79', '179']","['0', '0', '0', '0', '0']",305,,multistep_sup,Which company has the highest total emissions (both direct and indirect) of GHG generated in 2023 among the following companies in million mt CO2e?,OTC_RWNEF,multitable5_multistep
140,"['OTC_ADDDF_2023', 'OTC_BAYZF_2023', 'OTC_RWNEF_2023', 'axa_2023', 'munich-re_2023']","['84', '63', '79', '179', '46']","['0', '0', '0', '0', '0']",305,,multistep_rank,What are the 3 highest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in descending order) among the following companies in million mt CO2e?,"73.65, 1.9, 0.04",multitable5_multistep
68,"['NASDAQ_DASTY_2023', 'NYSE_TTE_2023', 'OTC_DPSGY_2023', 'OTC_SU_2023', 'prosiebensat1-media_2023']","['117', '381', '3', '310', '64']","['0', '0', '0', '1', '0']",302,,multistep_sup,What is the largest percentage of energy consumption from renewable sources in 2022 among the following companies?,84.0,multitable5_multistep
82,"['NYSE_TTE_2023', 'OTC_DPSGY_2023', 'OTC_SU_2023', 'heidelberg-materials_2023', 'prosiebensat1-media_2023']","['381', '3', '310', '374', '64']","['0', '0', '1', '0', '0']",302,,multistep_rank,What are the top 4 highest values of average energy consumed in the last 2 years (sorted in descending order) among the following companies in TWh?,"161.5, 94.01, 34.77, 1.16",multitable5_multistep
109,"['NASDAQ_DASTY_2023', 'NYSE_TTE_2023', 'OTC_DPSGY_2023', 'heidelberg-materials_2023', 'prosiebensat1-media_2023']","['117', '381', '3', '374', '64']","['0', '0', '0', '0', '0']",302,,multistep_sup,Which company has the highest change in the percentage consumption of energy from renewable sources between the years 2023 and 2022 for the following companies?,OTC_DPSGY,multitable5_multistep
12,"['NYSE_TTE_2023', 'OTC_DPSGY_2023', 'OTC_SU_2023', 'heidelberg-materials_2023', 'prosiebensat1-media_2023']","['381', '3', '310', '374', '64']","['0', '0', '1', '0', '0']",302,,multistep_rank,Which companies have the top 4 highest values of average energy consumed in the last 2 years (sorted in descending order) among the following companies in TWh?,"NYSE_TTE, heidelberg-materials, OTC_DPSGY, OTC_SU",multitable5_multistep
36,"['NYSE_TTE_2023', 'OTC_DPSGY_2023', 'OTC_SU_2023', 'heidelberg-materials_2023', 'prosiebensat1-media_2023']","['381', '3', '310', '374', '64']","['0', '0', '1', '0', '0']",302,,multistep_sup,What is the maximum average percentage consumption of energy from renewable sources in the years 2023 and 2022 among the following companies?,66.59,multitable5_multistep
9,"['OTC_ADDDF_2023', 'OTC_BAYZF_2023', 'axa_2023', 'munich-re_2023', 'vivendi_2023']","['84', '63', '179', '46', '105']","['0', '0', '0', '0', '0']",305,,multistep_rank,What are the 2 lowest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in ascending order) among the following companies in TCO2eq?,"10759.5, 21490.0",multitable5_multistep
19,"['NYSE_TTE_2023', 'OTC_BAMGF_2023', 'OTC_SU_2023', 'heidelberg-materials_2023', 'vivendi_2023']","['387', '311', '309', '358', '140']","['3', '0', '0', '0', '0']",306,,multistep_sup,Which company has the highest average amount of waste generated in the years 2023 and 2022 among the following companies in kt?,OTC_BAMGF,multitable5_multistep
56,"['NASDAQ_DASTY_2023', 'NYSE_TTE_2023', 'OTC_SU_2023', 'heidelberg-materials_2023', 'prosiebensat1-media_2023']","['117', '381', '310', '374', '64']","['0', '0', '1', '0', '0']",302,,multistep_rank,Which companies have the top 5 highest values of average energy consumed in the last 2 years (sorted in ascending order) among the following companies in MWh?,"prosiebensat1-media, NASDAQ_DASTY, OTC_SU, heidelberg-materials, NYSE_TTE",multitable5_multistep
