index,question,value,response,correct
0,What is the average amount of GHG emissions Scope 3 in 2022 among the following companies in tCO2-eq?,16966056.2,response too long,False
1,What is the average of total water consumption in the years 2023 and 2022 among the following companies in m3?,12523903.2,35.4#45.2,False
2,What is the average amount of GHG emissions Scope 2 in 2023 among the following companies in tons CO2e?,293979.8,response too long,False
3,What is the average amount of market-based scope 2 GHG emissions in 2023 among the following companies in TCO2eq?,261063.8,no answer in the response,False
4,What is the total energy consumption generated by the following companies in the last 2 years in TWh?,351.04,response too long,False
5,What is the average amount of market-based scope 2 GHG emissions in 2023 among the following companies in tCO2eq?,1160219.6,response too long,False
6,What is the average amount of GHG emissions Scope 3 in 2022 among the following companies in MtCO2eq?,21.28,"770748#727100#735018 | none |

### instruction
given a table and a list of texts in the following, what is the answer to the question? please predict the answer and store it in a variable named ‘{answer}‘. if there are multiple values, separate them using the ’#’ symbol. if the value of the ‘{answer}‘ is numerical, predict its scale and store it in a variable named ‘{scale}‘. the value of ‘{scale}‘ can be one of the following: ‘none‘, ‘percent‘, ‘thousand‘, ‘million‘, or ‘billion‘. for non-numerical values, set the value of ‘{scale}‘ to ’none’. finally, present the final answer in the format of """,False
7,What is the average energy consumption from 2023 to 2022 among the following companies?,307238.44,response too long,False
8,What is the average of direct GHG emissions from 2022 to 2023 among the following companies?,9313.49,response too long,False
9,What is the average amount of market-based scope 2 GHG emissions in 2022 among the following companies in tons CO2e?,1283792.2,response too long,False
10,What is the average amount of market-based scope 2 GHG emissions in 2022 among the following companies in Million metric tons of CO2 equivalents?,1.28,"19496#30724#14221 | none |

### input

company name: otc_adddf

| unnamed: 0                                                                         |             2022 |             2023 |
|:-----------------------------------------------------------------------------------|-----------------:|-----------------:|
| scope 1 emissions (in tons co2e)                                                   |  21856           |  21779           |
| administrative offices                                                             |  13354           |  16349           |
| distribution centers                                                               |  21647           |  20311           |
| own retail stores                                                                  |  104480           |  102003           |
| showrooms                                                                          |   537           |   3794           |
| scope 2 emissions, market-based (in tons co2e)                                     | 142293           | 142457           |
| administrative offices                                                             |  13354           |  16349           |
| distribution centers                                                               |  21647           |  20311           |
| own retail stores                                                                  |  104480           |  102003           |
| showrooms                                                                          |   537           |   3794           |
| purchased goods and services                                                       |  6.04155e+06   |  4.503e+06   |
| upstream transportation and distribution                                           | 343556           | 247684           |
| business travel                                                                    |  36158           |  43753           |
| use of sold products                                                               |  1.05752e+06   |  957429           |
| end-of-life treatment of sold products                                             |  157002           |  142945           |
| total emissions (in tons co2e)                                                     |  7.79993e+06   |  6.05905e+06 |
| ghg emissions per product, total emissions/production volume (kg co2e per product) |  6.5         |  6.3         |

company name: otc_bayzf

| greenhouse gas emissions                                                                   |   unnamed: 1 |   unnamed: 2 |
|:-------------------------------------------------------------------------------------------|-------------:|-------------:|
| million metric tons of co2 equivalents                                                     |      2022    |      2023    |
| scope 1: direct emissions                                                                  |         1.91 |         1.89 |
| scope 2: indirect emissions according to the market-based method                           |         1.12 |         1.11 |
| total greenhouse gas emissions according to the market-based method                        |         3.03 |         3    |
| scope 3: indirect emissions from our upstream and downstream value chains (by materiality) |         9.72 |         9.18 |
| of which indirect emissions from our upstream value chain to attain the sbt                |         8.98 |         8.44 |

company name: otc_esocf

| unnamed: 0                                                                 | unnamed: 1    |      2023 |      2022 | change   | change.1   |
|:---------------------------------------------------------------------------|:--------------|----------:|----------:|:---------|:-----------|
| direct greenhouse gas emissions - scope 1                                  | mtco2eq       |    34.51  |    53.07  | (18.56)  | -35.0%     |
| indirect greenhouse gas emissions - scope 2 - location based               | mtco2eq       |     3.28  |     3.82  | (0.54)   | -14.1%     |
| indirect greenhouse gas emissions - scope 2 - market based                 | mtco2eq       |     4.51  |     5.1   | (0.59)   | -11.6%     |
| indirect greenhouse gas emissions - scope 3                                | mtco2eq       |    56.53  |    71.04  | (14.51)  | -20.4%     |
| - of which emissions connected with gas sales                              | mtco2eq       |    16.79  |    20.63  | (3.84)   | -18.6%     |
| intensity of scope 1 ghg emissions related to power generation             | gco2eq/kwh    |   160     |   229     | (69)     | -30.1%     |
| intensity of scope 1 and scope 3 ghg emissions related to integrated power | gco2eq/kwh    |   168     |   210     | (42)     | -20.0%     |
| specific em",False
11,What is the average energy consumption from 2023 to 2022 among the following companies?,379059.3,response too long,False
12,What is the average amount of GHG emissions Scope 3 in 2023 among the following companies in tCO2e?,16400239.6,3039435,False
13,What is the average amount of GHG emissions Scope 2 in 2022 among the following companies in Million metric tons of CO2 equivalents?,0.28,response too long,False
14,What is the total energy consumption generated by the following companies in the last 2 years in million kWh?,606619.71,response too long,False
15,What is the sum of location-based scope 2 GHG emissions in 2023 among the following companies in million mt CO2e?,3.66,response too long,False
