index,question,value,response,correct
0,Which companies have the 4 highest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in descending order) among the following companies in tCO2e?,"otc_rwnef, otc_bayzf, munich-re, otc_adddf","<munich-re>, <vivendi>, <otc_rwnef>, <otc_adddf>, <company name: munich-re>",False
1,What is the total energy consumption generated by the following companies in the last 2 years in TWh?,326.11,"<33.09>, <33.26>",False
2,Which company has the highest percentage ratio of GHG emissions Scope 1 to Scope 3 in 2022 among the following companies?,otc_rwnef,munich-re,False
3,What are the 3 highest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in descending order) among the following companies in MtCO2eq?,"43.79, 0.04, 0.03",prompt too long,False
4,What are the 2 highest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in descending order) among the following companies in tCO2e?,"73650000.0, 43790000.0","<otc_esocf>, <otc_rwnef>, <munich-re>",False
5,What are the top 5 highest values of average energy consumed in the last 2 years (sorted in ascending order) among the following companies in MWh?,"76992.0, 282307.0, 34774500.0, 94006047.43, 161500000.0","<otc_dpsggy>, <heidelberg-materials>, <munich-re>, <nasdaq_dasty>, <new york stock exchange_tte>",False
6,What is the highest average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 among the following companies in tons CO2e?,1900000.0,munich-re,False
7,What is the highest water consumption calculated as the average of the 2023 and 2022 consumption for the following companies in millions of cu.m?,40.3,otc_bayzf,False
8,What is the average percentage variation of direct GHG emissions from 2022 to 2023 among the following companies?,20.34,-24.2,False
9,What are the 2 lowest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in ascending order) among the following companies in TCO2eq?,"10759.5, 21490.0","<10291.0>, <11228.0>",False
10,Which company has the lowest total GHG emissions (both direct and indirect) in the last 2 years among the following companies in tCO2e?,nyse_az,axa,False
11,Which company has the largest percentage variation in energy consumption from 2023 to 2022 among the following companies?,deutsche-telekom-ag,prompt too long,False
12,Which companies have the top 4 highest values of average energy consumed in the last 2 years (sorted in descending order) among the following companies in TWh?,"nyse_tte, heidelberg-materials, otc_dpsgy, otc_su",prompt too long,False
13,Which company has the lowest total energy consumption over the last 2 years among the following companies in MWh?,nasdaq_dasty,prompt too long,False
14,What is the total energy consumption generated by the following companies in the last 2 years in MWh?,395593201.0,"otc_su: 302-1, 302-4",False
15,Which company has the highest change in the percentage consumption of energy from renewable sources between the years 2023 and 2022 for the following companies?,otc_su,prompt too long,False
16,Which company has the lowest percentage variation of waste generated from 2022 to 2023 among the following companies?,otc_su,otc_crerf,False
17,What is the average percentage variation of direct GHG emissions from 2022 to 2023 among the following companies?,2.34,prompt too long,False
18,What is the highest change in the percentage consumption of energy from renewable sources between the years 2023 and 2022 for the following companies?,5.6,prompt too long,False
19,Which company has the highest average amount of waste generated in the years 2023 and 2022 among the following companies in kt?,otc_bamgf,otc_bamgf,True
20,What are the top 2 highest values of average energy consumed in the last 2 years (sorted in ascending order) among the following companies in MWh?,"76992.0, 282307.0",prompt too long,False
21,What is the average of the percentage ratios of GHG emissions Scope 1 to Scope 3 in 2023 among the following companies?,7.61,"<0.553083>, <0.548098>, <0.538198>",False
22,Which companies have the top 3 highest values of average energy consumed in the last 2 years (sorted in ascending order) among the following companies in MWh?,"munich-re, otc_su, deutsche-telekom-ag",prompt too long,False
23,What is the average of the percentage ratios of GHG emissions Scope 1 to Scope 3 in 2022 among the following companies?,76.57,"<1.895833>, <2.130952>, <3.03>, <1.895833>",False
24,What is the average of the percentage ratios of GHG emissions Scope 1 to Scope 3 in 2022 among the following companies?,80.19,prompt too long,False
25,Which companies have the top 3 highest water consumption values (in descending order) obtained by summing the 2023 and 2022 consumption for the following companies in millions of m3?,"otc_esocf, otc_crerf, otc_bayzf","<otc_bayzf>, <otc_crerf>, <otc_esocf>, <munich-re>",False
26,What is the highest percentage ratio of GHG emissions Scope 1 to Scope 3 in 2023 among the following companies?,32.84,prompt too long,False
27,Which company has the highest total emissions (both direct and indirect) of GHG generated in 2022 among the following companies in Million metric tons of CO2 equivalents?,otc_esocf,otc_esocf,True
28,What is the largest percentage of energy consumption from renewable sources in 2023 among the following companies?,84.0,prompt too long,False
29,Which companies have the top 2 highest values of average energy consumed in the last 2 years (sorted in ascending order) among the following companies in MWh?,"nasdaq_dasty, munich-re",prompt too long,False
30,What is the average percentage variation in energy consumption from 2023 to 2022 among the following companies?,9.4,-7.0,False
31,What is the total energy consumption generated by the following companies in the last 2 years in TWh?,420.52,otc_su: 1124327.0,False
32,Which company has the highest average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 among the following companies in tons CO2e?,otc_bayzf,munich-re,False
33,What is the largest percentage variation in energy consumption from 2023 to 2022 among the following companies?,7.64,prompt too long,False
34,Which companies have the top 2 highest values of average energy consumed in the last 2 years (sorted in descending order) among the following companies in TJ?,"heidelberg-materials, otc_su","<otc_su>, <munich-re>",False
35,Which company has the lowest total GHG emissions (both direct and indirect) in the last 2 years among the following companies in tons CO2e?,nasdaq_dasty,munich-re,False
36,What is the maximum average percentage consumption of energy from renewable sources in the years 2023 and 2022 among the following companies?,66.59,prompt too long,False
37,What are the top 5 highest values of average energy consumed in the last 2 years (sorted in ascending order) among the following companies in MWh?,"33175.0, 76992.0, 1162801.5, 94006047.43, 161500000.0",prompt too long,False
38,Which company has the highest average energy consumed in the last 2 years among the following companies in million kWh?,nyse_tte,prosiebensat1-media,False
39,Which companies have the top 5 highest values of average energy consumed in the last 2 years (sorted in ascending order) among the following companies in MWh?,"nasdaq_dasty, munich-re, otc_dpsgy, heidelberg-materials, nyse_tte","<otc_dpsgy>, <munich-re>, <heidelberg-materials>, <nyse_tte>, <otc_dpsgy>",False
