index,question,value,response,correct
0,What are the top 5 lowest water consumption values (in ascending order) obtained by summing the 2023 and 2022 consumption for the following companies in million cubic meters?,"0.91, 9.89, 13.44, 20.4, 80.6",11.86,False
1,What is the highest change in the percentage consumption of energy from renewable sources between the years 2023 and 2022 for the following companies?,5.6,prompt too long,False
2,Which companies have the 3 highest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in descending order) among the following companies in MtCO2eq?,"otc_esocf, munich-re, nyse_az",prompt too long,False
3,What is the highest average energy consumed in the last 2 years among the following companies in TWh?,161.5,prompt too long,False
4,Which company has the highest percentage ratio of GHG emissions Scope 1 to Scope 3 in 2022 among the following companies?,otc_esocf,prompt too long,False
5,What is the total energy consumption generated by the following companies in the last 2 years in TWh?,420.52,prompt too long,False
6,Which company has the highest total emissions (both direct and indirect) of GHG generated in 2023 among the following companies in million mt CO2e?,otc_rwnef,prompt too long,False
7,What are the 3 highest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in descending order) among the following companies in million mt CO2e?,"73.65, 1.9, 0.04",prompt too long,False
8,What is the largest percentage of energy consumption from renewable sources in 2022 among the following companies?,84.0,prompt too long,False
9,What are the top 4 highest values of average energy consumed in the last 2 years (sorted in descending order) among the following companies in TWh?,"161.5, 94.01, 34.77, 1.16",prompt too long,False
10,Which company has the highest change in the percentage consumption of energy from renewable sources between the years 2023 and 2022 for the following companies?,otc_dpsgy,prompt too long,False
11,Which companies have the top 4 highest values of average energy consumed in the last 2 years (sorted in descending order) among the following companies in TWh?,"nyse_tte, heidelberg-materials, otc_dpsgy, otc_su",prompt too long,False
12,What is the maximum average percentage consumption of energy from renewable sources in the years 2023 and 2022 among the following companies?,66.59,prompt too long,False
13,What are the 2 lowest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in ascending order) among the following companies in TCO2eq?,"10759.5, 21490.0",prompt too long,False
14,Which company has the highest average amount of waste generated in the years 2023 and 2022 among the following companies in kt?,otc_bamgf,prompt too long,False
15,Which companies have the top 5 highest values of average energy consumed in the last 2 years (sorted in ascending order) among the following companies in MWh?,"prosiebensat1-media, nasdaq_dasty, otc_su, heidelberg-materials, nyse_tte",prompt too long,False
