index,question,value,response
0,What were the direct GHG emissions (Scope 1) in 2021 in mmtonnes CO2 equivalent?,6.72,5.69
1,What was the percentage of the 100 biggest suppliers committed to a 1.5°C trajectory in 2023?,44,34.0
2,What was the share of renewable electricity in 2023 (%)?,63%,55.0
3,What was the district cooling consumption in megawatt-hour for the year 2023?,4283,4283.0
4,What percentage of total suppliers will be active in 2026?,100,0.965
5,How much were the GHG emissions for leased assets in 2022 in kilotonnes of CO2?,233,53.0
6,What are the expected Scope 1 and Scope 3 GHG emissions related to integrated power for the year 2026 in grams of CO2 equivalent per kilowatt-hour?,135,135.0
7,What was the Scope 3 emissions figure for Europe in 2021 in Mt CO2e?,220,216.0
8,What percentage of renewable energy was reported in 2023?,84,84.0
9,What was the percentage of electric and electronic waste recycled (WEEE) in 2019?,99,98.0
10,What was the number of contracted suppliers in 2022?,2354,2349.0
11,What was the total CO2 equivalents location based in million metric tons for the year 2023?,70.69,35.95
12,What is the expected reduction of GHG emissions (Scope 1 and 2) in 2035 compared to 2018 in %?,-71,69.0
13,What is the total weight of hazardous waste disposed of in other structures in 2022 in kilotons with reference to the entire group?,97.4,33.9
14,What is the target reduction for methane emissions in kt CH4 on operated activities by 2030 in percentage?,-80,64.0
15,What was the total weight of packaging reduction since 2017 in 2023 (in tonnes)?,20738,42659.0
16,What percentage of sites met the target for offshore discharges quality in 2021?,92,98.0
17,How many tonnes of carbon credits were obtained during the year 2023 (tCO2eq)?,673,673.0
18,What was the VOC emissions per million euros of turnover in 2022?,9,8.5
19,What was the long distance heating consumption in 2023 (%)?,16.8,16.8
20,How much were the Scope 3(a) indirect GHG emissions in 2019 in Mt CO2e?,410,410.0
21,What was the total amount of terna’s waste sent for disposal in tonnes for the year 2023?,1063.4,2468.6
22,How much were the leakages of refrigerant gases recorded in 2022 in tonnes of CO2 equivalent?,219.2,1192.8
23,What was the ratio of VOC emissions per million euros of turnover in 2021?,11.8,0.085
24,What was the total amount of waste generated in 2023 in kilotonnes?,476.5,1276.7
25,What is the total indirect (Scope 3) emissions for the year 2023 in tonnes of CO2 equivalent?,133875567,110899066.0
26,How many disputes with suppliers were pending in 2023?,36,36.0
27,What was the offshore continuous water discharges in mg/l for the year 2020?,12.8,13.0
28,How many meal equivalents of unsold products were donated to food aid associations in 2023 (in millions of meals)?,48.7,51.4
29,What was the total installed capacity for RWE Group in 2022 in MW?,39265,14269.0
30,What was the other biogenic fuels consumption in Mwh for the year 2019?,1501,1501.0
31,What is the value of biogenic CO2 emissions from equity interest domains recorded in 2021 in Mt CO2e?,-,0.001
32,What was the total weight of waste generated in tons in 2023?,931.3,1221.3
33,What was the total energy consumption in megawatt-hours (MWh) associated with motorcycle production in 2019?,120583,125450.0
34,What percentage of recycled and/or sustainably managed paper was used in marketing and distribution in 2022?,72%,0.81271
35,What were the CO emissions from Wines & Spirits in 2023 pro forma in tonnes of CO2 equivalent?,28164,25939.0
36,What was the number of on-site qualification checks conducted in 2021?,10,17.0
37,What was the global energy efficiency indicator (GEEI) for the year 2022?,85.1,95.1
38,What are the highest and lowest electricity consumption rates in kilowatt-hours per 100 kilometers for the BMW i4 eDrive35?,18.7 - 15.8,15.8
39,What was the installed capacity for renewable Onshore Wind/Solar in 2023 in megawatts?,12574,13154.0
40,What is the total power generation gross capacity from renewables in construction for Africa in gigawatts?,0,0.0
41,What was the percentage change for financed GHG emissions from listed equities and corporate bonds from companies in the oil & gas segment in 2023?,-55.1,-0.34854
42,How many tonnes of copper were produced in 2022?,10226,10226.0
43,What is the intensity of scope 1 GHG emissions related to power generation for the year 2030 in grams of CO2 equivalent per kilowatt-hour?,72,0.072
44,What was the percentage difference of total fossil energy consumption related to own operations between 2023 and 2019?,54%,-0.14136
45,What was the percentage change for financed GHG emissions from listed equities and corporate bonds from companies in the thermal coal segment in 2023?,64.3,-0.11467
46,What were the specific net CO2 emissions in kg CO2/t cementitious material for the year 2021?,565,565.0
47,What was the specific SO emissions in grams per tonne of clinker for the year 2023?,326,333.0
48,What is the electricity power consumption for the MINI Cooper SE Cabrio in kilowatt-hours per 100 kilometers?,17.2,0.14794
49,What was the water intensity in 2022 in m3/€m insurance revenue?,9,7.0
50,What are the 2023 emissions for listed corporates in mn t CO2e?,14,125.0
51,What is the amount of Scope 3 emissions from Europe (EU 27 + Norway + UK + Switzerland) in 2023 in Mt CO2e?,216,216.0
52,What was the percentage of biomass used in clinker production in 2021?,11.2,0.0211
53,How much methane was emitted from upstream oil & gas activities in 2021 in kt CH4 from operated domain?,48,48.0
54,What was the amount of GHG emissions from equity interest domains and from upstream oil & gas activities in 2015 in Mt CO2e?,22,45.0
55,What was the percentage of petroleum coke used in clinker production in 2021?,18.9,0.08611
56,What was the percentage of re-used water in 2021  for the entire group?,11,0.15268
57,What was the methane emissions in kilotonnes of CH4 for Africa in 2021 from operated domains?,23,23.0
58,How many tonnes of gross indirect GHG emissions from energy consumption (Scope 2) did Fresenius Vamed produce in 2022?,7,12.0
59,What was the weight of collected electric and electronic waste in 2023 in tons?,57.3,57.3
60,What is the total weight of non-hazardous waste destined for disposal in 2023 (million of tonnes)?,0.9,0.8
61,What was the contribution of Franchises in 2022 in Mt CO2e?,<1,0.0
62,What was the total surface water withdrawal in 2021 in million m3?,28.6,28.6
63,What was the methane emission amount for the Americas in 2021 in kt CH4?,18,18.0
64,What was the energy intensity for the entire group in 2022 in TJ/€mln?,1.7,1.2
65,What percentage of water was re-used in 2023 for the entire group?,5,0.12184
66,"In 2022, what was the total installed capacity for Hydro/Biomass/Gas in Türkiye in MW?",787,1469.0
67,What was the total amount of surface water withdrawn in 2020 in m3?,17461,17699.0
68,How much total water withdrawal was recorded in 2023 in million m³ for areas with water scarcity?,14.8,84.5
69,What was the emission intensity for market-based Scope 1 and 2 in 2023 in kilotonnes of CO2 equivalent per million euros for the entire group?,87.7,87.7
70,"What was the total installed capacity of Hydro/Biomass/Gas energy sources in the United Kingdom in 2023, in megawatts (MW)?",7335,1469.0
71,"How much Hydro/Biomass/Gas energy capacity (in total) was operational in the United Kingdom in 2022, in megawatts (MW)?",7315,11697.0
72,What is the energy consumption per revenue in MWh/EUR m for the year 2022?,7.99,8.59
73,What is the amount of emissions from employee commuting in metric tons for 2023?,3185,6292.5
74,How many Mt CO2e were reported for the breakdown by segment - Refining & Chemicals in 2023?,14,14.0
75,What is the target percentage reduction in waste volume for disposal for cars by 2030?,-82,-0.35
76,What were the Scope 1 emissions from distribution centers in tons of CO2 in 2022?,5128,5128.0
77,"What were the total location-based Scope 1, 2 and 3 emissions in 2022 in kilotonnes of CO2 equivalent for the entire group?",4385.6,12783.2
78,What was the total GHG emissions from equity interest domains and from upstream oil & gas activities in 2023 in Mt CO2e?,19,36.0
79,What percentage of the total waste generated in 2021 was hazardous?,7,0.05823
80,What was the percentage of alternative energy sources in 2022?,23.7,26.3
81,"What was the CO2 emissions intensity for commercial real estate, residential in 2021?",36.6,87.4
82,What was the total emissions from electricity/heat purchased in 2021 in tonnes of CO2 equivalent?,134849,354095.0
83,What were the petroleum products GHG emissions in 2021 in Mt CO2e?,285,350.0
84,What was the total water withdrawal from surface water bodies in 2023 in million m3?,97,124.0
