index,question,value,response,correct
0,Which company has the lowest energy consumption over the last 2 years among the following companies in million kWh?,munich-re,deutsche-telekom-ag,False
1,Which companies have the 5 highest values of market-based scope 2 GHG emissions produced in 2022 (sorted in descending order) among the following companies in tCO2eq?,"otc_esocf, otc_bayzf, otc_adddf, axa, nyse_az","<otc_esocf>, <otc_adddf>, <otc_bayzf>, <axa>, <ota",False
2,What are the 4 highest values of scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in Million metric tons of CO2 equivalents?,"1.11, 0.2, 0.14, 0.01","<otc_rwnef>, <otc_bayzf>, <otc_adddf>, <munich-re>",False
3,What are the top 5 lowest water consumption values (in ascending order) for the year 2023 among the following companies in m3?,"432730.0, 5049144.0, 6780000.0, 8200000.0, 35400000.0","<otc_bayzf>, <otc_crerf>, <otc_esocf>, <otc_bamgf>, <nan>",False
4,What are the 4 highest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in descending order) among the following companies in MtCO2eq?,"61.9, 34.51, 0.03, 0.02",prompt too long,False
5,Which company has the maximum amount of market-based scope 2 GHG emissions in 2022 among the following companies in tCO2e?,otc_esocf,otc_bayzf,False
6,What are the 2 highest values of scope 3 GHG emissions produced in 2022 (sorted in descending order) among the following companies in tCO2e?,"71040000.0, 23800000.0","<otc_esocf>, <otc_rwnef>, <vivendi>",False
7,What is the highest direct GHG emissions (Scope 1) produced in the years 2023 and 2022 among the following companies in MtCO2eq?,53.07,munich-re,False
8,What is the lowest energy consumption over the last 2 years among the following companies in TWh?,0.03,prompt too long,False
9,What are the 4 lowest values of scope 3 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in tons CO2e?,"770748.0, 3130824.0, 7635784.0, 9720000.0","<1781.0>, <10291.0>, <104480.0>, <1057515.0>",False
10,What are the top 5 highest values of energy consumed in 2023 (sorted in descending order) among the following companies in MWh?,"91604239.95, 12241000.0, 1124327.0, 71218.0, 33090.0","<otc_su>, <heidelberg-materials>, <deutsche-telekom-ag>, <prosiebensat1-media>, <otc_su>",False
11,What are the 2 lowest values of location-based scope 2 GHG emissions produced in 2023 (sorted in ascending order) among the following companies in TCO2eq?,"22042.0, 42423.0","<138339.0>, <132437.0>",False
12,What are the 4 highest values of location-based scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in MtCO2eq?,"3.28, 0.2, 0.11, 0.04","<otc_rwnef>, <otc_esocf>, <axa>, <onda",False
13,What is the largest energy consumption from 2022 to 2023 among the following companies?,1201276.0,prosiebensat1-media,False
14,Which companies have the 5 lowest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in ascending order) among the following companies in tCO2e?,"nasdaq_dasty, axa, munich-re, otc_esocf, otc_rwnef",prompt too long,False
15,Which companies have the 3 highest values of scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in Million metric tons of CO2 equivalents?,"otc_bayzf, otc_rwnef, otc_adddf","<otc_rwnef>, <otc_bayzf>, <otc_adddf>, <munich-re>",False
16,Which companies have the 2 highest values of scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in tons CO2e?,"otc_bayzf, otc_rwnef","<munich-re>, <otc_bayzf>",False
17,Which companies have the 5 lowest values of scope 3 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in TCO2eq?,"nyse_az, nasdaq_dasty, vivendi, munich-re, otc_esocf","<otc_esocf>, <munich-re>, <nyse_az>, <company name: vivendi>, <company name: otc_esocf>",False
18,Which companies have the 5 highest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in descending order) among the following companies in million mt CO2e?,"otc_rwnef, otc_esocf, munich-re, axa, nasdaq_dasty",prompt too long,False
19,Which company has the maximum amount of market-based scope 2 GHG emissions in 2023 among the following companies in tCO2eq?,otc_esocf,otc,False
20,Which companies have the 4 highest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in descending order) among the following companies in MtCO2eq?,"otc_rwnef, otc_esocf, munich-re, otc_adddf",prompt too long,False
21,What is the largest energy consumption from 2022 to 2023 among the following companies?,347068,munich-re,False
22,Which companies have the 4 highest values of scope 3 GHG emissions produced in 2022 (sorted in descending order) among the following companies in million mt CO2e?,"otc_esocf, otc_rwnef, otc_bayzf, munich-re","<otc_esocf>, <otc_rwnef>, <otc_bayzf>, <munich-re>",False
23,What is the maximum amount of GHG emissions Scope 3 in 2023 among the following companies in tCO2e?,5894811.0,company name: otc_adddf,False
24,Which company has the maximum amount of GHG emissions Scope 3 in 2023 among the following companies in tCO2e?,otc_rwnef,vivendi,False
25,Which companies have the 3 lowest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in ascending order) among the following companies in tCO2e?,"axa, otc_adddf, nyse_az",prompt too long,False
26,What are the 4 highest values of scope 3 GHG emissions produced in 2022 (sorted in descending order) among the following companies in tCO2e?,"71040000.0, 23800000.0, 7635784.0, 3130824.0","<otc_esocf>, <otc_rwnef>, <otc_adddf>, <munich-re>",False
27,What are the 3 highest values of market-based scope 2 GHG emissions produced in 2022 (sorted in descending order) among the following companies in TCO2eq?,"5100000.0, 1120000.0, 142293.0","<otc_bayzf>, <otc_adddf>, <otc_esocf>",False
28,Which company has the maximum amount of GHG emissions Scope 3 in 2022 among the following companies in tCO2e?,otc_bayzf,munich-re,False
29,Which companies have the 2 lowest values of market-based scope 2 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in MtCO2eq?,"vivendi, nyse_az","<otc_bayzf>, <otc_adddf>",False
30,What are the 5 highest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in descending order) among the following companies in million mt CO2e?,"61.9, 34.51, 0.03, 0.02, 0.0",prompt too long,False
31,Which companies have the 3 lowest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in ascending order) among the following companies in tCO2-eq?,"nasdaq_dasty, vivendi, nyse_az","<otc_rwnef>, <munich-re>, <nyse_az>",False
32,Which companies have the 5 lowest values of location-based scope 2 GHG emissions produced in 2023 (sorted in ascending order) among the following companies in tCO2eq?,"vivendi, axa, nyse_az, otc_rwnef, otc_esocf","<otc_esocf>, <otc_rwnef>, <axa>, <company name: axa>",False
33,Which companies have the 4 highest values of market-based scope 2 GHG emissions produced in 2022 (sorted in descending order) among the following companies in tCO2eq?,"otc_esocf, otc_bayzf, axa, nyse_az","<otc_esocf>, <axa>, <otc_bayzf>, <vivendi>, <otc_bayzf>",False
34,Which company has the lowest location-based scope 2 GHG emissions in the last 2 years among the following companies in million mt CO2e?,vivendi,company name: otc_rwnef,False
35,What is the maximum amount of GHG emissions Scope 3 in 2022 among the following companies in tCO2e?,9720000.0,3130824.0,False
36,What are the 5 lowest values of location-based scope 2 GHG emissions produced in 2023 (sorted in ascending order) among the following companies in tCO2eq?,"22042.0, 42423.0, 112228.0, 200000.0, 3280000.0","<otc_rwnef>, <otc_esocf>, <axa>, <onda",False
37,Which companies have the top 5 highest values of energy consumed in 2023 (sorted in ascending order) among the following companies in million kWh?,"nasdaq_dasty, munich-re, deutsche-telekom-ag, otc_dpsgy, heidelberg-materials","<deutsche-telekom-ag>, <munich-re>, <heidelberg-materials>, <otc_dpsggy>, <company name: otc_dpsgy>",False
38,What is the maximum amount of market-based scope 2 GHG emissions in 2023 among the following companies in tCO2eq?,4510000.0,otc_es,False
39,Which companies have the 3 highest values of scope 3 GHG emissions produced in 2022 (sorted in descending order) among the following companies in tCO2e?,"otc_rwnef, otc_bayzf, munich-re","<otc_rwnef>, <otc_bayzf>, <munich-re>, <vivendi>",False
40,What are the 3 lowest values of scope 3 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in MtCO2eq?,"0.09, 3.13, 7.64","<1903.0>, <17731.0>, <14479.0>",False
41,What is the lowest energy consumption over the last 2 years among the following companies in million kWh?,33.09,prosiebensat1-media,False
42,Which company has the largest energy consumption from 2022 to 2023 among the following companies?,otc_su,prosiebensat1-media,False
43,What are the 3 highest values of scope 3 GHG emissions produced in 2022 (sorted in descending order) among the following companies in tCO2e?,"23800000.0, 9720000.0, 3130824.0","<munich-re>, <vivendi>, <otc_rwnef>",False
44,Which company has the smallest water consumption from 2022 to 2023 among the following companies in millions of cu.m?,munich-re,otc_bayzf,False
45,What is the highest energy consumed in the last 2 years among the following companies in million kWh?,166000.0,deutsche-telekom-ag,False
46,Which company has the highest direct GHG emissions (Scope 1) produced in the years 2023 and 2022 among the following companies in MtCO2eq?,otc_esocf,munich-re,False
