index,question,value,response
0,What is the sum of location-based scope 2 GHG emissions in 2022 among the following companies in million mt CO2e?,4.13,Prompt too long
1,What is the average amount of market-based scope 2 GHG emissions in 2022 among the following companies in tons CO2e?,1065890.2,Prompt too long
2,What is the average amount of GHG emissions Scope 3 in 2022 among the following companies in MtCO2eq?,20.67,Prompt too long
3,What is the total energy consumption generated by the following companies in the last 2 years in million kWh?,606619.71,Prompt too long
4,What is the average energy consumption from 2023 to 2022 among the following companies?,379059.3,Prompt too long
5,What is the average amount of GHG emissions Scope 3 in 2023 among the following companies in MtCO2eq?,13.92,114411.46341
6,What is the sum of location-based scope 2 GHG emissions in 2023 among the following companies in million mt CO2e?,3.66,Prompt too long
7,What is the total amount of waste generated from 2022 to 2023 among the following companies?,2025651.6,Prompt too long
8,What is the average amount of GHG emissions Scope 2 in 2022 among the following companies in Million metric tons of CO2 equivalents?,0.28,Prompt too long
9,What is the average of direct GHG emissions from 2022 to 2023 among the following companies?,14837.29,Prompt too long
10,What is the average of total water consumption in the years 2023 and 2022 among the following companies in millions of m3?,12.52,42.6
11,What is the average amount of market-based scope 2 GHG emissions in 2022 among the following companies in MtCO2eq?,1.26,Prompt too long
12,What is the average amount of market-based scope 2 GHG emissions in 2022 among the following companies in Million metric tons of CO2 equivalents?,1.28,14269.33333
13,What is the average amount of GHG emissions Scope 3 in 2022 among the following companies in tCO2-eq?,16966056.2,Prompt too long
14,What is the average amount of GHG emissions Scope 2 in 2022 among the following companies in tCO2e?,276785.4,Prompt too long
15,What is the total amount of waste generated from 2022 to 2023 among the following companies?,280642.6,Prompt too long
16,What is the average amount of market-based scope 2 GHG emissions in 2022 among the following companies in tCO2eq?,1285991.0,Prompt too long
17,What is the total energy consumption generated by the following companies in the last 2 years in TWh?,351.04,Prompt too long
18,What is the average energy consumption from 2023 to 2022 among the following companies?,139583.04,Prompt too long
19,What is the average amount of market-based scope 2 GHG emissions in 2022 among the following companies in tons CO2e?,1283792.2,Prompt too long
20,What is the total amount of waste generated from 2022 to 2023 among the following companies?,2025890.6,Prompt too long
21,What is the average amount of market-based scope 2 GHG emissions in 2023 among the following companies in TCO2eq?,941063.8,Prompt too long
22,What is the sum of GHG emissions Scope 2 in 2022 among the following companies in tCO2e?,1383927.0,Prompt too long
23,What is the average amount of market-based scope 2 GHG emissions in 2023 among the following companies in tCO2eq?,1161478.0,Prompt too long
24,What is the average energy consumption from 2023 to 2022 among the following companies?,302832.93,Prompt too long
25,What is the average energy consumption from 2023 to 2022 among the following companies?,307238.44,Prompt too long
26,What is the average amount of GHG emissions Scope 3 in 2022 among the following companies in MtCO2eq?,21.28,Prompt too long
27,What is the average amount of GHG emissions Scope 3 in 2023 among the following companies in Million metric tons of CO2 equivalents?,14.5,Prompt too long
28,What is the sum of GHG emissions Scope 2 in 2022 among the following companies in million mt CO2e?,1.38,Prompt too long
29,What is the total energy consumption generated by the following companies in the last 2 years in TJ?,1941826.18,Prompt too long
30,What is the average amount of GHG emissions Scope 2 in 2023 among the following companies in tons CO2e?,293979.8,Prompt too long
31,What is the sum of GHG emissions Scope 2 in 2023 among the following companies in tCO2-eq?,1469899.0,Prompt too long
32,What is the average of direct GHG emissions from 2022 to 2023 among the following companies?,9313.49,Prompt too long
33,What is the average amount of GHG emissions Scope 3 in 2022 among the following companies in MtCO2eq?,21.1,Prompt too long
34,What is the total energy consumption generated by the following companies in the last 2 years in GWh?,418761.6,Prompt too long
35,What is the average amount of GHG emissions Scope 2 in 2023 among the following companies in million mt CO2e?,0.29,Prompt too long
36,What is the average energy consumption from 2023 to 2022 among the following companies?,24941.64,Prompt too long
37,What is the average amount of GHG emissions Scope 3 in 2023 among the following companies in tCO2e?,16400239.6,Prompt too long
38,What is the total energy consumption generated by the following companies in the last 2 years in million kWh?,418673.96,Prompt too long
39,What is the average of total water consumption in the years 2023 and 2022 among the following companies in m3?,12523903.2,44.6
40,What is the average amount of GHG emissions Scope 3 in 2023 among the following companies in tons CO2e?,16987870.4,Prompt too long
41,What is the total amount of waste generated from 2022 to 2023 among the following companies?,2005514.6,Prompt too long
42,What is the average amount of market-based scope 2 GHG emissions in 2023 among the following companies in MtCO2eq?,1.13,Prompt too long
43,What is the sum of location-based scope 2 GHG emissions in 2022 among the following companies in tCO2eq?,4126790.0,Prompt too long
44,What is the sum of GHG emissions Scope 2 in 2023 among the following companies in Million metric tons of CO2 equivalents?,1.47,Prompt too long
45,What is the average amount of market-based scope 2 GHG emissions in 2023 among the following companies in TCO2eq?,261063.8,Prompt too long
46,What is the average amount of GHG emissions Scope 3 in 2023 among the following companies in MtCO2eq?,13.28,Prompt too long
47,What is the total amount of waste generated from 2022 to 2023 among the following companies?,1771368.6,1833.6
48,What is the average amount of market-based scope 2 GHG emissions in 2023 among the following companies in tCO2eq?,1160219.6,Prompt too long
49,What is the average amount of GHG emissions Scope 3 in 2022 among the following companies in tCO2-eq?,6910384.8,Prompt too long
