index,question,value,response
0,What is the average amount of GHG emissions Scope 3 in 2022 among the following companies in tCO2-eq?,16966056.2,Response too long
1,What is the average of total water consumption in the years 2023 and 2022 among the following companies in m3?,12523903.2,"45.2#35.4 |

The average of 35.4#45.2 is 40.3 |

"
2,What is the average amount of GHG emissions Scope 2 in 2023 among the following companies in tons CO2e?,293979.8,Response too long
3,What is the average amount of market-based scope 2 GHG emissions in 2023 among the following companies in TCO2eq?,261063.8,Response too long
4,What is the total energy consumption generated by the following companies in the last 2 years in TWh?,351.04,Response too long
5,What is the average amount of market-based scope 2 GHG emissions in 2023 among the following companies in tCO2eq?,1160219.6,Response too long
6,What is the average amount of GHG emissions Scope 3 in 2022 among the following companies in MtCO2eq?,21.28,No answer in the response
7,What is the average energy consumption from 2023 to 2022 among the following companies?,307238.44,Response too long
8,What is the average of direct GHG emissions from 2022 to 2023 among the following companies?,9313.49,Response too long
9,What is the average amount of market-based scope 2 GHG emissions in 2022 among the following companies in tons CO2e?,1283792.2,Response too long
10,What is the average amount of market-based scope 2 GHG emissions in 2022 among the following companies in Million metric tons of CO2 equivalents?,1.28,142424.67
11,What is the average energy consumption from 2023 to 2022 among the following companies?,379059.3,Response too long
12,What is the average amount of GHG emissions Scope 3 in 2023 among the following companies in tCO2e?,16400239.6,102.1
13,What is the average amount of GHG emissions Scope 2 in 2022 among the following companies in Million metric tons of CO2 equivalents?,0.28,Response too long
14,What is the total energy consumption generated by the following companies in the last 2 years in million kWh?,606619.71,Response too long
15,What is the sum of location-based scope 2 GHG emissions in 2023 among the following companies in million mt CO2e?,3.66,Response too long
